feature,gini_importance,perm_importance_mean,perm_importance_std
AP2DC_351,0.0009320152038522602,0.000494838056372715,0.00041028697334725294
AP2DC_560,0.0009229448029571126,0.0011660820181979448,0.0003356996852299509
AP2DC_765,0.0009224455723180852,0.0006333169341824596,0.0002350940131349571
AP2DC_395,0.00091157468465216,8.516497329912332e-05,0.0003868998287459949
AP2DC_147,0.0009070408043028302,0.0005188920501270844,0.00017872671195684207
AP2DC_356,0.0009039386621059477,-0.0005161642762600782,0.0001087563877398873
AP2DC_86,0.000903873252598833,0.0006980750274725112,9.292972742805886e-05
AP2DC_435,0.0008921289340342599,7.034485878674169e-05,0.0004110939658448577
AP2DC_621,0.000886323061585932,0.00026971894111327277,0.00019015780873217508
AP2DC_382,0.000849532775211866,-0.00022215347883877134,0.0002084860461774106
AP2DC_603,0.0008406481837182777,4.2044428923915245e-05,0.0001939802546561505
AP2DC_253,0.0008405767925720935,6.773493103178208e-05,0.0003320459947997485
AP2DC_330,0.0008355402391339404,0.000291134464310272,0.00028107870208096973
AP2DC_178,0.0008318269160243132,0.00016623909102970736,0.00015241563671236768
AP2DC_52,0.0008068241593917608,-0.00021838040276757066,0.0003330421867510354
AP2DC_763,0.0008045329584112012,0.00017262273149444286,0.00016054499179520246
AP2DC_443,0.000795415775648557,0.0008209202236733826,0.0002967196632835551
AP2DC_143,0.0007943999343045428,-0.00017084838145270398,0.00010539809379106912
AP2DC_179,0.0007899500955585835,-0.00012832058494121056,0.0001847502986087601
AP2DC_441,0.0007865986902865346,-0.0006806945985540103,0.00010869610271742512
AP2DC_360,0.000778118088961576,-2.2042922926157614e-05,6.890881798254392e-05
AP2DC_681,0.0007747148369720114,0.00015943360418400055,0.0004589952119587316
AP2DC_462,0.000773439259259518,-3.059233505368075e-05,0.00016686365447820376
AP2DC_55,0.0007684128041911107,-0.000433400705439424,0.00022192719089530894
AP2DC_698,0.0007654557575571004,-6.851979607894743e-05,0.00018263281951613395
AP2DC_754,0.0007628362215144001,0.0003483634866899399,0.0001269149035003134
AP2DC_118,0.000762201966300826,0.00010272025248532213,0.00012071461584570559
AP2DC_33,0.0007601744981207529,0.0002507468939660695,0.00012803119877792486
AP2DC_713,0.0007411557267703175,-8.376432540864176e-05,0.00020318289556519597
AP2DC_120,0.0007405178422672744,-6.090112411482052e-05,0.00016622402707240248
AP2DC_630,0.0007403996290760599,0.0001871083054852285,0.0001985766858295622
AP2DC_247,0.0007381822703998469,6.977188857130168e-05,0.00021283563497314693
AP2DC_607,0.0007327804837934977,9.143800059000507e-05,0.00017250628296871343
AP2DC_554,0.0007299765699185155,0.0011977644597577109,0.0004525013019808378
AP2DC_624,0.0007237455294654277,0.00017458644562985405,0.00016387300064673953
AP2DC_333,0.0007150241365061533,4.5754236150719055e-06,0.00010276051403630793
AP2DC_556,0.0007139385436799767,9.397253218560442e-05,0.0001727897556664053
AP2DC_690,0.0006954639864405948,-0.00013008595334914607,0.00022996176288776274
